,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
61,2010,Europe,Denmark,1.0,83.5,1.0,1.0,1.0,4.1,1.0,11.8
62,2010,Sub-Saharan Africa,Djibouti,1.0,2.3,1.0,1.0,1.0,96.9,1.0,1.0
63,2010,Latin America-Caribbean,Dominica,1.0,94.4,3.0,1.0,1.0,1.0,1.7,
64,2010,Latin America-Caribbean,Dominican Republic,1.0,88.0,1.0,,1.0,1.0,1.0,10.9
65,2010,Latin America-Caribbean,Ecuador,1.0,94.1,1.0,1.0,1.0,1.0,1.0,5.5
66,2010,Middle East-North Africa,Egypt,1.0,5.1,1.0,1.0,1.0,94.9,1.0,1.0
67,2010,Latin America-Caribbean,El Salvador,1.0,88.2,1.0,1.0,1.0,1.0,1.0,11.0
68,2010,Sub-Saharan Africa,Equatorial Guinea,1.0,88.7,1.7,1.0,1.0,4.0,1.0,5.0
69,2010,Sub-Saharan Africa,Eritrea,1.0,62.9,1.0,,1.0,36.6,1.0,1.0
70,2010,Europe,Estonia,1.0,39.9,1.0,1.0,1.0,1.0,1.0,59.6
71,2010,Sub-Saharan Africa,Ethiopia,1.0,62.8,2.6,,1.0,34.6,1.0,1.0
72,2010,Europe,Faeroe Islands,1.0,98.0,1.0,1.0,1.0,,1.0,1.7
73,2010,Latin America-Caribbean,Falkland Islands (Malvinas),1.0,67.2,1.0,1.0,1.0,1.0,1.0,31.5
74,2010,Asia-Pacific,Fiji,1.0,64.4,1.0,27.9,1.0,6.3,1.0,1.0
75,2010,Europe,Finland,,80.1,1.0,1.0,1.0,1.0,1.0,19.1
76,2010,Europe,France,1.0,63.0,1.0,1.0,1.0,7.5,1.0,28.0
77,2010,Latin America-Caribbean,French Guiana,1.0,84.4,9.1,1.6,1.0,1.0,1.0,3.4
78,2010,Asia-Pacific,French Polynesia,1.0,94.0,1.0,1.0,1.0,1.0,1.0,4.9
79,2010,Sub-Saharan Africa,Gabon,1.0,76.5,6.0,1.0,1.0,11.2,1.0,
80,2010,Sub-Saharan Africa,Gambia,1.0,4.5,1.0,1.0,1.0,95.1,1.0,1.0
81,2010,Europe,Georgia,1.0,88.5,1.0,1.0,1.0,10.7,1.0,
82,2010,Europe,Germany,1.0,,1.0,1.0,1.0,5.8,1.0,24.7
83,2010,Sub-Saharan Africa,Ghana,,74.9,4.9,1.0,1.0,15.8,1.0,4.2
84,2010,Europe,Gibraltar,,88.8,1.0,1.8,2.1,4.0,1.0,2.9
85,2010,Europe,Greece,1.0,88.1,1.0,1.0,1.0,5.3,1.0,6.1
86,2010,North America,Greenland,1.0,96.1,1.0,1.0,1.0,,1.0,2.5
87,2010,Latin America-Caribbean,Grenada,1.0,96.6,1.3,1.0,1.0,1.0,1.0,1.0
88,2010,Latin America-Caribbean,Guadeloupe,1.0,95.9,1.0,1.0,1.0,1.0,1.0,2.5
89,2010,Asia-Pacific,Guam,1.1,94.2,1.5,1.0,1.0,1.0,1.6,1.7
90,2010,Latin America-Caribbean,Guatemala,1.0,95.2,1.0,1.0,1.0,1.0,1.0,4.1
